Unnamed: 0,Kingdom,Phylum,Class,Order,Family,Genus,Scientific.Name
641,Animalia,Chordata,Amphibia,Caudata,Proteidae,Proteus,Proteus anguinus
642,Animalia,Chordata,Mammalia,Didelphimorphia,Didelphidae,Didelphis,Didelphis Virginiana
643,Animalia,Chordata,Mammalia,Primates,Hominidae,Pongo,"Pongo pygmaeus, Pongo abelii, Pongo tapanuliensis"
644,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Astronotus,Astronotus ocellatus
645,Animalia,Chordata,Aves,Struthioniformes,Struthionidae,Struthio,Struthio camelus
646,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Lutra,Lutra Canadensis
648,Animalia,Chordata,Actinopterygii,Batrachoidiformes,Batrachoididae,Opsanus,Opsanus tau
649,Animalia,Chordata,Mammalia,Diprotodontia,Macropodidae,Thylogale,Thylogale
650,Animalia,Chordata,Reptilia,Testudines,Emydidae,Chrysemys,Chrysemys picta
651,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,"Panthera pardus, Panthera onca"
653,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Forpus,Forpus cyanopygius
655,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Erythrocebus,Erythrocebus patas
657,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Aglais,Aglais io
661,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Elaphurus,Elaphurus davidianus
662,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,Falco peregrinus
667,Animalia,Chordata,Aves,Galliformes,Phasianidae,Phasianus,Phasianus Colchicus
668,Animalia,Chordata,Mammalia,Primates,Callitrichidae,Saguinus,Saguinus bicolor
669,Animalia,Chordata,Mammalia,Artiodactyla,Suidae,Sus,Sus scrofa scrofa
670,Animalia,Chordata,Mammalia,Lagomorpha,Ochotonidae,Ochotona,Ochotona Minor
671,Animalia,Chordata,Actinopterygii,Esociformes,Esocidae,Esox,Esox
672,Animalia,Chordata,Aves,Piciformes,Picidae,Dryocopus,Dryocopus pileatus
673,Animalia,Chordata,Mammalia,Cingulata,Dasypodidae,Chlamyphorus,Chlamyphorus truncatus
676,Animalia,Chordata,Mammalia,Monotremata,Ornithorhynchidae,Ornithorhynchus,Ornithorhynchus anatinus
680,Animalia,Chordata,Mammalia,Carnivora,Ursidae,Ursus,Ursus maritimus
682,Animalia,Arthropoda,Insecta,Lepidoptera,Saturniidae,Antheraea,Antheraea polyphemus
689,Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax,Pelophylax lessonae
690,Animalia,Chordata,Chondrichthyes,Lamniformes,Lamnidae,Lamna,Lamna nasus
691,Animalia,Chordata,Mammalia,Rodentia,Erethizontidae,Erethizon,Erethizon Dorsaum
692,Animalia,Chordata,Mammalia,Diprotodontia,Phalangeriformes,Phalangeridae,Phalangeriforme
693,Animalia,Chordata,Mammalia,Diprotodontia,Potoroidae,Potorous,Potorous tridactylus
694,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Nasalis,Nasalis larvatus
695,Animalia,Chordata,Mammalia,Artiodactyla,Antilocapridae,Antilocapra,Antilocapra americana
697,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Fratercula,Fratercula arctica
701,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Felis concolor
703,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Haemorhous,Haemorhous purpureus
704,Animalia,Arthropoda,Insecta,Lepidoptera,Notodontidae,Cerura,Cerura vinula
705,Animalia,Chordata,Mammalia,Artiodactyla,Hippopotamidae,Hippopotamus,Choeropsis liberiensis
709,Animalia,Chordata,Mammalia,Perissodactyla,Equidae,Equus,ï¿½Equus quagga quagga
710,Animalia,Chordata,Aves,Galliformes,Phasianidae,Coturnix,Coturnix Coturnix
711,Animalia,Chordata,Aves,Trogoniformes,Trogonidae,"Pharomachrus, Euptilotis","Pharomachrus, Euptilotis"
712,Animalia,Chordata,Mammalia,Diprotodontia,Macropodidae,Setonix,Setonix brachyurus
713,Animalia,Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Dasyurus,Dasyurus Viverrinus
714,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Oryctolagus,Oryctolagus cuniculus
715,Animalia,Chordata,Mammalia,Carnivora,Procyonidae,Procyon,Procyon lotor
716,Animalia,Chordata,Mammalia,Carnivora,Canidae,Nyctereutes,Nyctereutes procyonoides
717,Animalia,Chordata,Reptilia,Testudines,Testudinidae,Astrochelys,Astrochelys radiata
721,Animalia,Chordata,Mammalia,Rodentia,Muridae,Rattus,Rattus rattus
725,Animalia,Arthropoda,Arachnida,Araneae,Theraphosidae,Brachypelma,Brachypelma smithi
726,Animalia,Chordata,Mammalia,Carnivora,Ailuridae,Ailurus,Ailurus fulgens
727,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Tamiasciurus,Tamiasciurus hudsonicus
728,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus rufus
729,Animalia,Chordata,Mammalia,Primates,Callitrichidae,Saguinus,Saguinus midas
730,Animalia,Chordata,Aves,Passeriformes,Icteridae,Agelaius,Agelaius phoeniceus
731,Animalia,Arthropoda,Arachnida,aranae,Theridiidae,Latrodectus,Latrodectus hasselti
733,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Rangifer,Rangifer Tarandus
734,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer,Cancer productus
735,Animalia,Chordata,Mammalia,Hyracoidea,Procaviidae,Procavia,Procavia capensis
736,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes chrysocome
737,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Capreolus,Capreolus capreolus
738,Animalia,Chordata,Aves,Passeriformes,Carinalidae,Pheucticus,Pheucticus ludovicianus
739,Animalia,Chordata,Aves,Ciconiiformes,Threskiornithidae,Ajaja,Ajaja ajaja
742,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes schlegeli
743,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,Archilochus colubris
747,Animalia,Chordata,Reptilia,Testudines,Testudinidae,Agrionemys,Agrionemys horsfieldii
750,Animalia,Chordata,Mammalia,Carnivora,Felidae,Smilodon,Smilodon populator
751,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Martes,Martes zibellina
753,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Saiga,Saiga tatarica
756,Animalia,Chordata,Chondrichthyes,Lamniformes,Lamnidae,Lamna,Lamna ditropis
759,Animalia,Chordata,Reptilia,Squamata,Lacertidae,Lacerta,Lacerta agilis
760,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Pseudoryx,Pseudoryx nghetinhensis
761,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,Uroplatus,Uroplatus phantasticus
762,Animalia,Chordata,Mammalia,artiodactyla,Bovidae,Capra,Capra hircus
763,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,Ara macao
766,Animalia,Chordata,Mammalia,Artiodactlya,Bovidae,Oryx,Oryx Dammah
768,Animalia,Chordata,Amphibia,Anura,Telmatobiidae,Telmatobius,Telmatobius culeus
769,Animalia,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,Phycodurus,Phycodurus eques
770,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Haliaeetus Savigny,Haliaeetus
771,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Enhydra,Enhydra Lutris
772,Animalia,Mollusca,Gastropoda,Nudibranchia,Opistobranches,Nudibranch,Nudibranchia
773,Animalia,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,Hippocampus,Hippocampus
775,Animalia,Chordata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,Balaenoptera borealis
776,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Poicephalus,Poicephalus senegalus
777,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leptailurus,Leptailurus serval
778,Animalia,Chordata,Reptilia,Reptilia Order:	Squamata,Colubridae,Contia,Contia tenuis
779,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,Ovis aries
786,Animalia,Chordata,Aves,Pelecaniformes,Balaenicipitidae,Balaeniceps,Balaeniceps rex
789,Animalia,Chordata,Actinopterygii,Perciformes,Osphronemidae,Betta,Betta splendens
792,Animalia,Chordata,Mammalia,Cetartiodactyla,Bovidae,Capra,Capra sibirica
794,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,Panthera Tigris Altaica
799,Animalia,Chordata,Actinopterygii,Scombriformes,Scombridae,Katsuwonus,Katsuwonus pelamis
801,Animalia,Chordata,Mammalia,Pilosa,Bradypodidae,Bradypus,Choloepus Hoffmani
802,Animalia,Chordata,Reptilia,Squamata,Anguidae,Anguis,Anguis fragilis
804,Animalia,Chordata,Reptilia,Testudines,Chelydridae,Chelydra,Chelydridae
806,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,Panthera uncia
808,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,Lepus americanus
809,Animalia,Chordata,Aves,Strigiformes,Strigidae,Bubo,Bubo scandiacus
811,Animalia,Chordata,Aves,Passeriformes,Passerelidae,Melospiza,Melospiza melodia
812,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,Panthera Tigris Amoyensis
813,Animalia,Chordata,Amphibia,Mesobatrachia,Pelobatidae,Pelobates,Mesobatrachia
817,Animalia,Chordata,Mammalia,Carnivora,Ursidae,Tremarctos,Tremarctos Ornatus
818,Animalia,Chordata,Mammalia,Cetacea,Physeteridae,Physeter,Physeter macrocephalus
819,Animalia,Chordata,Mammalia,Primates,Atelidae,Ateles,Simia Paniscus
820,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Carcharhinus,Carcharhinus brevipinna
822,Animalia,Chordata,Chondrichthyes,Squaliformes,Squalidae,Squalus,Squalus acanthias
823,Animalia,Chordata,Reptilia,Testudines,Geoemydidae,Heosemys,Heosemys spinosa
824,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Cyanopsitta,Cyanopsitta spixii
825,Animalia,Chordata,Actinopterygii,Lepisosteiformes,Lepisosteidae,Lepisosteus,Lepisosteus oculatus
826,Animalia,Arthropoda,Insecta,Hemiptera,Fulgoridae,Lycorma,Lycorma delicatula
828,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Antidorcas,Antidorcas marsupialis
830,Animalia,Chordata,Mammalia,Primates,Cebidae,Saimiri,Saimiri
831,Animalia,Chordata,Actinopterygii,Beryciformes,Holocentridae,Holocentrus,Holocentrus adscensionis
832,Animalia,Chordata,Mammalia,Proboscidea,Elephantidae,Elephas,Elephas Maximus Maximus
836,Animalia,Chordata,Mammalia,Eulipotyphla,Talpidae,Condylura,Condylura cristata
837,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,Mustela Erminea
838,Animalia,Chordata,Mammalia,Carnivora,Hyaenidae,Hyaena,Hyaena hyaena
839,Animalia,Chordata,Amphibia,Anura,Hylidae,Litoria,Litoria nasuta
840,Animalia,Chordata,Mammalia,Diprotodontia,Petauridae,Petaurus,Petaurus breviceps
841,Animalia,Chordata,Reptilia,Testudines,Testudinidae,Centrochelys,Centrochelys sulcata
842,Animalia,Chordata,Mammalia,Proboscidea,Elephantidae,Elephas,Elephas Maximus Sumatranus
843,Animalia,Chordata,Mammalia,Primates,Hominidae,Pongo,Pongo abelii
844,Animalia,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Dicerorhinus,Dicerorhinus Sumatrensis
845,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,Panthera Tigris Sumatrae
846,Animalia,Chordata,Mammalia,Carnivora,Ursidae,Helarctos,Helarctos malayanus
847,Animalia,Chordata,Actinopterygii,Siluriformes,Pangasiidae,Pangasianodon,Pangasianodon hypophthalmus
848,Animalia,Chordata,Aves,Anseriformes,Anatidae,Cygnus,Cygnus atratus
850,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Mesocricetus,Mesocricetus auratus
852,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Budorcas,Budorcas taxicolor
854,Animalia,Chordata,Mammalia,Primates,Hominidae,Pongo,Pongo tapanuliensis
855,Animalia,Arthropoda,Insecta,Hymenoptera,Pompilidae,Pepsis,Pepsis albocincta
856,Animalia,Chordata,Mammalia,Primates,Tarsiidae,Tarsius,Tarsius
857,Animalia,Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Sarcophilus,Sarcophilus harrisii
858,Animalia,Chordata,Mammalia,Dasyuromorphia,ï¿½Thylacinidae,ï¿½Thylacinus,ï¿½Thylacinus cynocephalus
859,Animalia,Chordata,Aves,Strigiformes,Strigidae,Strix,Strix aluco
864,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Paracheirodon,Paracheirodon Axelrodi
867,Animalia,Chordata,Reptilia,Squamata,Agamidae,Moloch,Moloch horridus
868,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,Vulpes ferrilata
873,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,Panthera Tigris
874,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Cicindela,Cicindelinae
875,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,Ambystoma tigrinum
876,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Galeocerdo,Galeocerdo Cuvier
881,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Tachycineta,Tachycineta bicolor
884,Animalia,Chordata,Reptilia,Sphenodontia,Sphenodontidae,Sphenodon,Sphenodon Punctatus
885,Animalia,Chordata,Aves,Galliformes,Phasianidae,Meleagris,Meleagris
887,Animalia,Chordata,Mammalia,Primates,Pitheciidae,Cacajao,Cacajao
888,Animalia,Chordata,Aves,Passeriformes,Cettiidae,Cettia,Cettia diphone
889,Animalia,Chordata,Aves,Passeriformes,Cotingidae,Cephalopterus,Cephalopterus
891,Animalia,Mollusca,Cephalopoda,Vampyromorphida,Vampyroteuthidae,Vampyroteuthis,Vampyroteuthis infernalis
892,Animalia,Chordata,Mammalia,Artiodactyla,Phocoenidae,Phocoena,Phocoena sinus
893,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Chlorocebus,Chlorocebus pygerythrus
894,Animalia,Chordata,Reptilia,Squamata,Sphaerodactylidae,Sphaerodactylus,Sphaerodactylus parthenopion
897,Animalia,Chordata,Aves,Cathartiformes,Cathartidae,Cathartes,Cathartes aura
898,Animalia,Chordata,Actinopterygii,Siluriformes,Clariidae,Clarias,Clarias batrachus
899,Animalia,Chordata,Mammalia,Diprotodontia,Macropodidae,Macropus,Macropus
900,Animalia,Chordata,Actinopterygii,Perciformes,Percidae,Sander,Sander vitreus
901,Animalia,Chordata,Mammalia,Carnivora,Odobenidae,Odobenus,Odobenus rosmarus
902,Animalia,Chordata,Aves,Procellariiforms,Diomedeidae,Diomedea,Diomedea exulans
903,Animalia,Chordata,Mammalia,Artiodactyla,Suidae,Phacochoerus,Phacochoerus africanus
904,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bubalus,Bubalus bubalis
905,Animalia,Chordata,Reptilia,Squamata,Agamidae,Physignathus,Physignathus
906,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Arvicola,Arvicola amphibius
907,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,Mustela nivalis
913,Animalia,Chordata,Mammalia,Primates,Hominidae,Gorilla,Gorilla Gorilla
914,Animalia,Chordata,Mammalia,Primates,Hominidae,Gorilla,Gorilla gorilla gorilla
915,Animalia,Chordata,Chondrichthyes,Orectolobiformes,Rhincodontidae,Rhincodon,Rhincodon Typus
918,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Pieris,Pieris rapae
919,Animalia,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Ceratotherium,Ceratotherium simum
920,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,Panthera tigris tigris
921,Animalia,Chordata,Mammalia,Primates,Cebidae,Cebus,Cebus Capucinus
